counter,region,service,endpoint,rps
40,us-south-1,sslateingress,sslateingress@POST@/multicore,0
40,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
40,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
40,us-south-1,corecontrast,corecontrast@POST@/multicore,0
40,us-west-1,sslateingress,sslateingress@POST@/multicore,0
40,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
40,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
40,us-west-1,corecontrast,corecontrast@POST@/multicore,0
40,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
40,us-east-1,corecontrast,corecontrast@POST@/multicore,0
40,us-east-1,sslateingress,sslateingress@POST@/multicore,0
40,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
40,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
40,us-central-1,corecontrast,corecontrast@POST@/multicore,0
40,us-central-1,sslateingress,sslateingress@POST@/multicore,0
40,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-south-1,sslateingress,sslateingress@POST@/multicore,0
41,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-south-1,corecontrast,corecontrast@POST@/multicore,0
41,us-west-1,sslateingress,sslateingress@POST@/multicore,0
41,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-west-1,corecontrast,corecontrast@POST@/multicore,0
41,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-east-1,corecontrast,corecontrast@POST@/multicore,0
41,us-east-1,sslateingress,sslateingress@POST@/multicore,0
41,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-central-1,corecontrast,corecontrast@POST@/multicore,0
41,us-central-1,sslateingress,sslateingress@POST@/multicore,0
41,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-south-1,sslateingress,sslateingress@POST@/multicore,0
42,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-south-1,corecontrast,corecontrast@POST@/multicore,0
42,us-west-1,sslateingress,sslateingress@POST@/multicore,0
42,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-west-1,corecontrast,corecontrast@POST@/multicore,0
42,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-east-1,corecontrast,corecontrast@POST@/multicore,0
42,us-east-1,sslateingress,sslateingress@POST@/multicore,0
42,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-central-1,corecontrast,corecontrast@POST@/multicore,0
42,us-central-1,sslateingress,sslateingress@POST@/multicore,0
42,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-south-1,sslateingress,sslateingress@POST@/multicore,0
43,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
43,us-south-1,corecontrast,corecontrast@POST@/multicore,0
43,us-west-1,sslateingress,sslateingress@POST@/multicore,0
