us-west-1,sslateingress,sslateingress@GET@/getRecord,sslateingress@GET@/getRecord,4.078598778821503e-06
us-west-1,sslateingress,sslateingress@GET@/getRecord,intercept,4.122559909718986
us-west-1,record-service,record-service@GET@/getRecord,record-service@GET@/getRecord,1.1540263217751148e-05
us-west-1,record-service,record-service@GET@/getRecord,intercept,0.3930265450154857

us-east-1,sslateingress,sslateingress@GET@/getRecord,sslateingress@GET@/getRecord,4.078598778821503e-06
us-east-1,sslateingress,sslateingress@GET@/getRecord,intercept,4.122559909718986
us-east-1,record-service,record-service@GET@/getRecord,record-service@GET@/getRecord,1.1540263217751148e-05
us-east-1,record-service,record-service@GET@/getRecord,intercept,0.3930265450154857

us-south-1,sslateingress,sslateingress@GET@/getRecord,sslateingress@GET@/getRecord,4.078598778821503e-06
us-south-1,sslateingress,sslateingress@GET@/getRecord,intercept,4.122559909718986
us-south-1,record-service,record-service@GET@/getRecord,record-service@GET@/getRecord,1.1540263217751148e-05
us-south-1,record-service,record-service@GET@/getRecord,intercept,0.3930265450154857

us-central-1,sslateingress,sslateingress@GET@/getRecord,sslateingress@GET@/getRecord,4.078598778821503e-06
us-central-1,sslateingress,sslateingress@GET@/getRecord,intercept,4.122559909718986
us-central-1,record-service,record-service@GET@/getRecord,record-service@GET@/getRecord,1.1540263217751148e-05
us-central-1,record-service,record-service@GET@/getRecord,intercept,0.3930265450154857
