us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,6.244809568429129e-06
us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,intercept,0.6987102362698281
us-west-1,frontend,frontend@POST@/cart/checkout,frontend@POST@/cart/checkout,0.0002745620070413306
us-west-1,frontend,frontend@POST@/cart/checkout,intercept,-17.06665662891628
us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,paymentservice@POST@/hipstershop.PaymentService/Charge,5.541307960266252e-06
us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,intercept,0.7322807594252826
us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0.00014889017100630148
us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,intercept,-4.336334150907508
us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,8.942462953450725e-05
us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,intercept,-13.192377235381432
us-west-1,sslateingress,sslateingress@POST@/cart/checkout,sslateingress@POST@/cart/checkout,0.00029572368956520123
us-west-1,sslateingress,sslateingress@POST@/cart/checkout,intercept,-17.3714676412491
us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,cartservice@POST@/hipstershop.CartService/GetCart,8.813330823536261e-06
us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,intercept,0.9452056491695048
us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,3.3581736590597892e-06
us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,intercept,0.6245698521639249
us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,6.244809568429129e-06
us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,intercept,0.6987102362698281
us-east-1,frontend,frontend@POST@/cart/checkout,frontend@POST@/cart/checkout,0.0002745620070413306
us-east-1,frontend,frontend@POST@/cart/checkout,intercept,-17.06665662891628
us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,paymentservice@POST@/hipstershop.PaymentService/Charge,5.541307960266252e-06
us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,intercept,0.7322807594252826
